MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
1650.85,1304.54,2172.46,11.2007,-6.17325,4.1323e-08,5.2919e-06,7.7858e-08,6.1066e-08,1.4734e-07,1.7214e-08,4.2148e-08,3.938e-07
1361.77,2616.09,2019.47,5.0773,5.58727,2.1623e-07,2.4818e-08,4.4005e-07,1.919e-07,7.774e-09,5.5206e-08,2.113e-09,2.4175e-08
1399.96,326.963,1988.52,11.6054,1.62986,1.4233e-08,0.0835,3.6171e-07,1.8969e-07,2.255e-06,5.4506e-08,7.2515e-07,1.1481e-05
1211.71,519.554,643.455,0.76641,-0.891891,1.5317e-08,0.003079,0.0013672,1.4826e-05,0.00020093,4.8885e-06,7.6062e-05,1.4047e-05
1596.23,1378.66,2764.71,3.41994,4.1719,2.6917e-08,2.6153e-07,2.1379e-08,1.4392e-08,2.4669e-08,4.0337e-09,6.8746e-09,3.77e-07
643.56,1574.25,2084.35,2.15912,6.23378,7.3936e-05,2.8416e-06,8.1216e-07,8.964e-07,9.5093e-08,2.708e-07,2.6905e-08,2.8167e-06
1487.83,251.589,1303.07,3.93561,-4.93227,7.5187e-08,0.66342,4.9351e-06,9.8764e-07,2.9324e-05,2.922e-07,1.0112e-05,9.6735e-06
1940.76,2203.33,300.619,10.4143,2.57256,1.2221e-09,1.6149e-08,1.084,2.751e-06,1.1923e-06,8.7199e-07,3.7603e-07,1.7429e-08
2663.69,1784.77,591.648,6.25523,-5.14471,6.3401e-11,2.3427e-06,0.088468,1.7892e-07,2.5508e-06,5.4025e-08,7.9673e-07,7.7429e-09
1294.66,1815.55,1513.58,4.63813,2.39848,6.2856e-08,3.3361e-07,1.194e-06,9.4052e-07,2.2924e-07,2.7613e-07,6.6053e-08,2.5576e-07
2151.69,659.257,958.754,11.8895,-3.71716,7.1145e-10,0.0087161,0.0010344,3.6014e-07,3.4943e-05,1.0427e-07,1.1948e-05,4.4442e-07
2892.5,2487.62,1448.75,10.9983,3.14289,6.0601e-12,7.7143e-09,7.957e-05,1.4518e-08,4.395e-08,4.0841e-09,1.2358e-08,7.8748e-10
2450.04,1875.23,1709.18,12.3856,-0.598428,3.1711e-12,4.7334e-07,4.1263e-06,2.563e-08,1.1811e-07,7.0108e-09,3.3264e-08,1.0898e-08
1785.25,1499.43,1723.59,5.3501,-0.758822,2.7676e-10,7.468e-07,1.4898e-07,1.4068e-07,3.0734e-07,4.0678e-08,8.7086e-08,1.6184e-07
1861.91,267.075,1689.4,11.4071,-2.45847,1.8257e-09,1.0065,4.167e-07,1.2491e-07,6.9504e-06,3.5597e-08,2.2544e-06,2.4634e-06
1076.4,1407.44,2794.54,10.0666,0.30342,4.6893e-09,9.8804e-07,2.7922e-08,4.482e-08,2.1127e-08,1.2865e-08,5.9204e-09,1.4923e-06
2853.71,1725.53,2764.27,1.33597,4.3136,1.4525e-11,4.5418e-06,6.9757e-10,6.7646e-10,1.0774e-08,1.7701e-10,2.9422e-09,5.4522e-09
2252.82,1540.59,1780.41,2.03094,0.555228,8.6451e-12,4.2474e-06,1.0297e-06,3.5547e-08,2.3495e-07,1.0008e-08,6.7633e-08,4.1509e-08
